iter	Passed	Remaining
1389	69131	229276
1390	69175	229208
1391	69220	229144
1392	69272	229101
1393	69320	229044
1394	69366	228984
1395	69417	228938
1396	69467	228890
1397	69517	228842
1398	69565	228787
1399	69614	228734
1400	69663	228682
1401	69712	228628
1402	69766	228591
1403	69819	228554
1404	69863	228486
1405	69913	228436
1406	69961	228380
1407	70010	228331
1408	70061	228283
1409	70110	228230
1410	70161	228185
1411	70210	228135
1412	70260	228086
1413	70308	228029
1414	70358	227982
1415	70406	227924
1416	70453	227866
1417	70501	227812
1418	70545	227744
1419	70596	227697
1420	70645	227645
1421	70693	227591
1422	70743	227543
1423	70793	227494
1424	70842	227443
1425	70891	227389
1426	70941	227341
1427	70991	227291
1428	71041	227241
1429	71091	227194
1430	71137	227132
1431	71185	227076
1432	71234	227025
1433	71287	226985
1434	71337	226938
1435	71394	226911
1436	71441	226851
1437	71486	226788
1438	71531	226724
1439	71579	226667
1440	71621	226594
1441	71671	226545
1442	71723	226502
1443	71773	226453
1444	71824	226408
1445	71873	226355
1446	71927	226321
1447	71974	226263
1448	72025	226215
1449	72073	226160
1450	72119	226101
1451	72167	226045
1452	72218	225999
1453	72270	225958
1454	72322	225914
1455	72373	225869
1456	72423	225819
1457	72470	225761
1458	72512	225689
1459	72563	225642
1460	72610	225585
1461	72657	225527
1462	72706	225475
1463	72755	225422
1464	72804	225370
1465	72851	225313
1466	72899	225258
1467	72944	225195
1468	72993	225140
1469	73038	225076
1470	73081	225006
1471	73125	224940
1472	73172	224882
1473	73222	224832
1474	73271	224783
1475	73318	224724
1476	73367	224672
1477	73413	224611
1478	73463	224562
1479	73519	224531
1480	73569	224483
1481	73622	224445
1482	73670	224388
1483	73720	224340
1484	73771	224294
1485	73820	224243
1486	73868	224187
1487	73916	224134
1488	73966	224084
1489	74014	224029
1490	74066	223988
1491	74114	223932
1492	74163	223880
1493	74211	223826
1494	74264	223786
1495	74314	223737
1496	74365	223692
1497	74411	223632
1498	74459	223577
1499	74506	223518
1500	74565	223497
1501	74611	223438
1502	74662	223392
1503	74710	223336
1504	74764	223298
1505	74822	223275
1506	74876	223238
1507	74921	223173
1508	74968	223115
1509	75012	223051
1510	75057	222985
1511	75109	222944
1512	75153	222878
1513	75199	222816
1514	75245	222756
1515	75295	222709
1516	75339	222641
1517	75387	222585
1518	75435	222532
1519	75488	222492
1520	75536	222436
1521	75584	222382
1522	75637	222344
1523	75686	222292
1524	75735	222239
1525	75785	222192
1526	75834	222139
1527	75878	222073
1528	75931	222033
1529	75980	221983
1530	76031	221937
1531	76080	221885
1532	76130	221835
1533	76175	221773
1534	76222	221714
1535	76275	221676
1536	76328	221636
1537	76378	221585
1538	76424	221525
1539	76472	221473
1540	76523	221426
1541	76569	221366
1542	76614	221303
1543	76664	221255
1544	76711	221198
1545	76761	221148
1546	76807	221087
1547	76857	221039
1548	76904	220982
1549	76945	220907
